Sr No.,College Name,Course Name,Status,Seat Type,Category,Percentile,Rank,Stage
1,,0101219110 - Civil Engineering,Government Home University :  Sant Gadge Baba Amravati University,State Level,DEFOPENS,N/A,178396,Stage-I
2,,0101219110 - Civil Engineering,Government Home University :  Sant Gadge Baba Amravati University,State Level,DEFOPENS,1.8370822,73509,Stage-I
3,,0101219110 - Civil Engineering,Government Home University :  Sant Gadge Baba Amravati University,State Level,DEFOPENS,73.7743452,145000,Stage-I
4,,0101219110 - Civil Engineering,Government Home University :  Sant Gadge Baba Amravati University,State Level,DEFOPENS,34.8002089,N/A,Stage-I
5,,0101229310 - Electrical Engineering,Government Home University :  Sant Gadge Baba Amravati University,State Level,DEFOPENS,N/A,120726,Stage-I
6,,0101229310 - Electrical Engineering,Government Home University :  Sant Gadge Baba Amravati University,State Level,DEFOPENS,50.6340761,56718,Stage-I
7,,0101229310 - Electrical Engineering,Government Home University :  Sant Gadge Baba Amravati University,State Level,DEFOPENS,80.2743712,131321,Stage-I
8,,0101229310 - Electrical Engineering,Government Home University :  Sant Gadge Baba Amravati University,State Level,DEFOPENS,43.9565943,N/A,Stage-I
9,,0101237210 - Electronics and Telecommunication Engg,Government Home University :  Sant Gadge Baba Amravati University,State Level,DEFOPENS,N/A,68716,Stage-I
10,,0101237210 - Electronics and Telecommunication Engg,Government Home University :  Sant Gadge Baba Amravati University,State Level,DEFOPENS,75.5247196,50727,Stage-I
11,,0101237210 - Electronics and Telecommunication Engg,Government Home University :  Sant Gadge Baba Amravati University,State Level,DEFOPENS,82.5540242,77306,Stage-I
12,,0101237210 - Electronics and Telecommunication Engg,Government Home University :  Sant Gadge Baba Amravati University,State Level,DEFOPENS,72.1467831,N/A,Stage-I
13,,0110124210 - Computer Science and Engineering,Un-Aided Home University :  Sant Gadge Baba Amravati University,State Level,DEFOPENS,N/A,54110,Stage-I
14,,0110124210 - Computer Science and Engineering,Un-Aided Home University :  Sant Gadge Baba Amravati University,State Level,DEFOPENS,81.2928705,13505,Stage-I
15,,0110124210 - Computer Science and Engineering,Un-Aided Home University :  Sant Gadge Baba Amravati University,State Level,DEFOPENS,95.5193118,26554,Stage-I
16,,0110124210 - Computer Science and Engineering,Un-Aided Home University :  Sant Gadge Baba Amravati University,State Level,DEFOPENS,91.1269352,N/A,Stage-I
17,,0110124610 - Information Technology,Un-Aided Home University :  Sant Gadge Baba Amravati University,State Level,DEFOPENS,N/A,68189,Stage-I
18,,0110124610 - Information Technology,Un-Aided Home University :  Sant Gadge Baba Amravati University,State Level,DEFOPENS,75.8854903,14798,Stage-I
19,,0110124610 - Information Technology,Un-Aided Home University :  Sant Gadge Baba Amravati University,State Level,DEFOPENS,95.0547190,31340,Stage-I
20,,0110124610 - Information Technology,Un-Aided Home University :  Sant Gadge Baba Amravati University,State Level,DEFOPENS,89.3907269,N/A,Stage-I
21,,0110135610 - Electrical Engg[Electronics and Power],Un-Aided Home University :  Sant Gadge Baba Amravati University,State Level,DEFOPENS,N/A,156499,Stage-I
22,,0110135610 - Electrical Engg[Electronics and Power],Un-Aided Home University :  Sant Gadge Baba Amravati University,State Level,DEFOPENS,25.0606208,36779,Stage-I
23,,0110135610 - Electrical Engg[Electronics and Power],Un-Aided Home University :  Sant Gadge Baba Amravati University,State Level,DEFOPENS,87.4969245,79363,Stage-I
24,,0110135610 - Electrical Engg[Electronics and Power],Un-Aided Home University :  Sant Gadge Baba Amravati University,State Level,DEFOPENS,71.3988776,N/A,Stage-I
25,,0111724210 - Computer Science and Engineering,Un-Aided Home University :  Sant Gadge Baba Amravati University,State Level,DEFOPENS,N/A,179067,Stage-I
